Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
-0.014696553411908236, None, None, None, 116
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.016424198163624743, None, None, None, 46
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.017260992632016556, None, None, None, 45
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.01515851467409985, None, None, None, 43
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.01354666873750646, None, None, None, 43
